"Life","GDP"
75.3,12314
58.3,7103
75.5,14646
72.5,7383
81.5,41312
80.4,43952
70.6,14365
72.2,24373
68.4,2265
75.3,16075
70.1,14488
79.4,41641
70.7,8293
63.2,1646
67.6,5663
70.9,5066
61.2,13858
73.9,13906
73.2,15368
59.4,1358
57.4,723
66.2,2442
56.6,2571
80.7,41468
54.8,1753
78.9,18698
75.1,10489
62.6,1440
58.6,5022
79.7,12219
55.9,2854
76.5,21873
77.8,17765
78.7,45017
61,2502
74,9244
70.1,9974
74.1,7450
56.7,40143
60.4,1088
74,24743
65.7,7129
79.4,42122
81,37505
57.5,15800
62.2,1566
72.1,5900
80,41199
62.7,2907
79.5,32197
70.8,6960
58.3,1230
51.3,1326
63,5208
61.7,1600
70.9,4391
73.8,23334
82,42294
64.4,3901
69.5,7856
76.9,15955
79.4,47713
80.9,28562
81.4,37475
75.5,8951
82.6,34800
66.1,18797
61.5,2358
72.3,20977
77.6,14158
45.2,2041
61,588
72,23223
80.7,95001
63.4,1528
51.4,674
74.5,19968
78.2,12029
55.8,1602
81.4,27872
63.6,3356
72.1,14615
75.7,15826
69.6,3890
63.2,7563
73.3,6091
55,864
60.8,2891
68.6,1866
80.3,47388
80.2,32122
75.2,4060
59.7,843
58,4684
80.7,65216
74.6,47799
64.1,4187
77.1,14033
58.2,1982
73.6,6684
76.8,9249
69.4,5332
75.3,19996
79.2,27747
80.4,126076
73.4,18032
67.6,22506
62.2,1173
64.3,2162
76.4,12522
55.9,1289
80.9,65991
74.8,24670
78.5,30816
56.7,615
55,12263
81.1,34676
74.3,6907
67.4,3246
69.1,13470
46.1,5887
81.1,43421
81.9,55020
69.5,2001
59.7,2030
74.1,12216
60,1219
71.3,30875
76.5,9938
75.1,16454
57.2,1437
68.2,8762
79.5,37739
78.2,50384
76,15317
68.7,3733
75.4,4085
52,3039
49,1286
